datetime,departures
1371154560,1
1371154860,1
1371155580,2
1371155940,1
1371156300,1
1371157140,1
1371157920,2
1371158040,1
1371158220,1
1371158880,2
1371159660,1
1371160380,1
1371160440,1
1371160560,1
1371161580,1
1371161820,1
1371162000,1
1371162120,1
1371162420,1
1371162480,3
1371162840,1
1371163080,1
1371163200,1
1371211440,1
1371212940,1
1371217320,2
1371219180,1
1371220560,1
1371222120,1
1371224040,1
1371226080,1
1371228720,1
1371228960,1
1371229380,1
1371231720,1
1371233700,1
1371234960,1
1371235740,1
1371238440,1
1371239400,1
1371239460,1
1371240300,1
1371240780,1
1371240840,1
1371241260,1
1371242760,2
1371242880,1
1371243120,2
1371243300,1
1371243480,1
1371243660,1
1371243840,1
1371243960,1
1371244020,1
1371244260,1
1371244680,1
1371244860,1
1371244920,1
1371246780,1
1371246960,1
1371247500,2
1371306000,1
1371308220,1
1371308460,1
1371308640,2
1371310200,1
1371310680,1
1371312780,1
1371312900,1
1371315600,2
1371317400,1
1371317520,1
1371317580,1
1371321600,2
1371324780,1
1371328500,1
1371331620,1
1371332700,2
1371333060,1
1371333300,1
1371333900,1
1371334500,1
1371336360,1
1371337980,1
1371340080,1
1371345240,1
1371348300,1
1371350760,2
1371358860,1
1371361020,1
1371369180,1
1371390300,1
1371390360,1
1371395880,1
1371402960,1
1371405960,1
1371408120,1
1371409260,1
1371410340,1
1371412020,1
1371412080,1
1371412560,1
1371413460,1
1371413760,1
1371414060,1
1371415980,1
1371417660,1
1371420420,1
1371421380,1
1371422280,1
1371423900,1
1371426240,1
1371426300,1
1371426480,1
1371433620,2
1371433680,1
1371434040,1
1371434340,1
1371441600,1
1371446400,1
1371467700,1
1371469560,1
1371471360,1
1371472500,1
1371473640,1
1371474060,3
1371474540,1
1371475680,1
1371476640,1
1371477480,1
1371485760,2
1371486420,2
1371486480,4
1371486600,2
1371486660,1
1371486960,2
1371487320,1
1371488700,1
1371489420,1
1371489540,1
1371490380,1
1371490800,2
1371491880,1
1371492600,1
1371493080,1
1371500760,1
1371501000,1
1371501300,1
1371501660,1
1371502380,1
1371503280,1
1371503460,1
1371503940,1
1371504060,1
1371504180,2
1371504600,1
1371504780,1
1371504900,2
1371505140,2
1371505680,1
1371505800,2
1371505920,1
1371506040,1
1371506160,1
1371506220,3
1371506460,1
1371506520,1
1371506580,1
1371506640,1
1371506820,1
1371507060,2
1371507120,1
1371507420,1
1371507600,1
1371507660,1
1371507780,1
1371507840,1
1371507900,1
1371508080,1
1371508200,1
1371521520,1
1371521940,1
1371528960,1
1371551340,1
1371554100,1
1371555840,1
1371556560,1
1371558120,1
1371558960,2
1371561060,1
1371561540,1
1371562260,1
1371562860,1
1371566220,1
1371566340,1
1371571560,1
1371571980,1
1371572700,1
1371575280,1
1371576060,1
1371576120,5
1371576240,3
1371576420,4
1371576540,1
1371576600,1
1371577620,1
1371579000,1
1371579300,1
1371579660,1
1371582000,1
1371582900,1
1371584280,1
1371589320,1
1371589500,1
1371590700,1
1371590820,1
1371591000,1
1371591360,1
1371594900,1
1371599100,1
1371599460,1
1371599520,1
1371601500,1
1371601560,1
1371604500,1
1371605460,1
1371606420,1
1371606780,1
1371610380,1
1371612420,1
1371615900,1
1371637620,1
1371639060,1
1371641220,1
1371641700,1
1371642360,1
1371642840,1
1371645360,1
1371645540,1
1371647460,1
1371649020,1
1371649440,1
1371651420,1
1371652800,1
1371654660,1
1371656880,1
1371657780,1
1371659580,1
1371659820,1
1371660300,2
1371661980,1
1371662340,1
1371662820,1
1371663000,1
1371663240,1
1371664500,1
1371664620,1
1371665820,1
1371666720,1
1371667380,1
1371667500,1
1371667560,1
1371667740,1
1371670560,1
1371671700,1
1371671820,1
1371671940,1
1371675480,1
1371675600,2
1371675660,1
1371675900,1
1371676020,2
1371676680,1
1371676860,2
1371677160,2
1371677340,2
1371677520,2
1371677640,1
1371677700,1
1371677880,3
1371678480,2
1371678660,2
1371679020,2
1371679260,1
1371679380,2
1371679680,1
1371679860,3
1371679980,1
1371680100,2
1371680460,2
1371680520,1
1371680580,1
1371680700,1
1371680760,1
1371680820,2
1371681000,3
1371681300,1
1371681660,1
1371683280,1
1371683400,1
1371684900,1
1371685260,1
1371685380,1
1371687600,1
1371688800,1
1371689400,1
1371702600,1
1371729660,1
1371730980,1
1371731100,1
1371731820,1
1371735480,1
1371736620,1
1371738780,1
1371739500,1
1371740820,1
1371741240,1
1371744960,1
1371745140,1
1371745380,1
1371745680,1
1371746160,1
1371746340,2
1371747120,1
1371747360,1
1371748200,1
1371749040,1
1371750360,1
1371752040,1
1371753120,1
1371754920,1
1371756540,2
1371756900,1
1371757140,2
1371757500,1
1371758100,1
1371758400,7
1371758760,5
1371759360,1
1371759660,1
1371759960,1
1371760560,1
1371761040,1
1371761100,1
1371761400,1
1371761760,1
1371761820,1
1371762480,1
1371762600,1
1371762720,1
1371763020,3
1371763200,1
1371763920,9
1371764280,4
1371764760,1
1371764940,1
1371765000,1
1371765420,1
1371765720,1
1371766500,1
1371768000,1
1371768060,1
1371771360,1
1371778560,1
1371787860,1
1371788340,1
1371809400,1
1371810360,1
1371813300,1
1371813840,1
1371815100,1
1371816000,1
1371816360,2
1371817800,1
1371818100,1
1371818400,1
1371818460,2
1371818640,1
1371820260,1
1371822480,1
1371824760,1
1371825420,1
1371828300,1
1371829380,1
1371829500,1
1371830220,1
1371830400,1
1371831540,1
1371831600,1
1371831960,1
1371834060,2
1371835380,2
1371835980,2
1371836100,1
1371837060,1
1371837540,1
1371838680,2
1371839040,2
1371839160,1
1371839640,1
1371841200,1
1371841440,1
1371842160,1
1371842340,1
1371842460,1
1371842580,1
1371844260,2
1371844380,1
1371844500,1
1371844620,1
1371845220,1
1371845640,1
1371846060,2
1371846120,1
1371846300,1
1371846960,4
1371847140,1
1371847200,4
1371847260,2
1371847440,1
1371847500,1
1371847740,1
1371848820,2
1371849060,1
1371849120,1
1371849180,1
1371849540,1
1371850560,1
1371855420,1
1371857520,1
1371857760,1
1371859200,1
1371872700,1
1371911040,1
1371912660,1
1371913320,1
1371913560,1
1371915540,1
1371917280,2
1371919200,1
1371922320,1
1371925500,1
1371926220,1
1371926340,1
1371927300,1
1371927840,1
1371928020,1
1371932340,1
1371933300,1
1371933720,1
1371935040,1
1371935580,1
1371936900,1
1371936960,1
1371937560,1
1371939060,1
1371946740,2
1371957060,1
1371993360,1
1372003620,1
1372005180,2
1372005420,3
1372005840,1
1372007280,2
1372007400,1
1372009800,1
1372013940,1
1372015320,1
1372016460,1
1372016580,1
1372018080,1
1372018380,1
1372019460,1
1372020840,1
1372021140,1
1372022460,1
1372022760,1
1372028760,1
1372033260,1
1372033860,1
1372033920,1
1372034100,1
1372034760,1
1372037400,1
1372072440,1
1372072920,1
1372075020,1
1372076460,1
1372078500,1
1372080300,1
1372081800,1
1372081920,1
1372082040,1
1372082400,1
1372082520,1
1372082580,1
1372082640,6
1372082700,3
1372082880,1
1372083000,2
1372085820,1
1372088640,1
1372089540,1
1372091100,1
1372091460,1
1372092120,2
1372094400,2
1372095540,1
1372096020,1
1372098000,1
1372098540,1
1372099320,1
1372101360,1
1372101900,1
1372103580,1
1372104780,1
1372105980,1
1372106100,2
1372106460,1
1372107120,1
1372107300,1
1372107480,1
1372107660,2
1372107900,2
1372108080,2
1372108140,2
1372108200,2
1372108440,2
1372109100,1
1372109280,2
1372109400,1
1372109940,1
1372110000,1
1372110060,2
1372110300,1
1372110600,1
1372111140,1
1372111440,1
1372111800,1
1372112100,1
1372115100,1
1372121100,1
1372122000,1
1372123200,3
1372123500,1
1372129740,1
1372132140,1
1372154940,1
1372158540,1
1372158780,1
1372159860,1
1372160040,1
1372163700,2
1372164300,1
1372164780,1
1372164900,2
1372166280,2
1372170960,1
1372173360,1
1372174200,1
1372175040,2
1372175340,1
1372175760,1
1372176060,2
1372176120,2
1372176720,4
1372177200,1
1372177260,5
1372177500,1
1372177620,1
1372177800,5
1372179060,1
1372179240,1
1372180200,1
1372181040,2
1372181400,1
1372182360,2
1372182840,1
1372183980,1
1372184280,1
1372184460,1
1372185840,1
1372186080,1
1372186920,1
1372188240,1
1372188300,1
1372188600,1
1372189920,1
1372190520,1
1372190580,1
1372191240,1
1372192260,1
1372192620,1
1372193460,1
1372193760,1
1372194000,1
1372194240,1
1372194420,2
1372194540,2
1372194780,1
1372194840,1
1372194960,1
1372195320,1
1372195380,1
1372195680,1
1372195980,1
1372196100,1
1372196160,1
1372196280,1
1372196400,1
1372198440,1
1372199400,1
1372200720,1
1372201260,1
1372201320,1
1372209480,1
1372211400,1
1372219440,1
1372222800,1
1372223820,1
1372242420,1
1372246440,2
1372246740,1
1372247820,1
1372247880,1
1372248000,1
1372249860,1
1372252800,1
1372252980,1
1372253520,1
1372253640,9
1372253940,1
1372254000,1
1372254120,7
1372254300,3
1372254420,1
1372254600,2
1372254900,1
1372256460,1
1372257240,1
1372257720,1
1372261320,1
1372262040,1
1372263000,1
1372264200,1
1372264380,1
1372264560,1
1372264920,1
1372266000,1
1372266120,1
1372267080,1
1372267740,2
1372269120,1
1372269600,1
1372272600,1
1372273500,1
1372273860,1
1372274880,1
1372275540,1
1372276200,1
1372276980,1
1372277040,1
1372277400,1
1372277880,1
1372278240,2
1372278840,4
1372279020,1
1372279800,4
1372279860,1
1372280160,2
1372280400,1
1372280580,1
1372280700,1
1372280760,1
1372282920,1
1372283280,2
1372284600,1
1372285440,1
1372287060,1
1372291260,1
1372293300,1
1372294140,1
1372294740,1
1372301820,1
1372329960,1
1372332120,1
1372333200,1
1372333500,1
1372333800,1
1372335660,1
1372341120,6
1372341240,2
1372341360,2
1372342680,2
1372343520,1
1372347120,1
1372347180,1
1372347840,1
1372348500,1
1372348980,1
1372349220,1
1372350780,1
1372351260,1
1372358100,1
1372358580,1
1372359120,2
1372359840,1
1372360500,1
1372360560,1
1372361100,1
1372361580,1
1372362120,1
1372362240,1
1372362360,1
1372362900,2
1372363380,1
1372363620,1
1372363920,1
1372364460,1
1372365480,1
1372366020,2
1372366260,2
1372370400,17
1372370760,1
1372374180,1
1372376100,1
1372377000,1
1372415580,1
1372417740,1
1372420140,1
1372421220,1
1372424460,1
1372424700,1
1372425240,1
1372425840,1
1372426500,1
1372427760,1
1372430280,1
1372430700,1
1372430940,2
1372431960,2
1372432200,4
1372432260,1
1372432440,2
1372433340,1
1372434840,1
1372436760,1
1372436940,1
1372437660,1
1372438680,1
1372438980,1
1372439220,1
1372439280,1
1372440000,2
1372440840,1
1372441140,1
1372442040,1
1372442340,1
1372442940,2
1372443300,1
1372445520,1
1372445820,1
1372445880,1
1372446000,1
1372446300,1
1372446480,1
1372447320,1
1372447920,1
1372448400,1
1372449000,1
1372449180,3
1372449540,1
1372449900,1
1372450380,1
1372450440,1
1372450560,1
1372450680,1
1372450800,1
1372450980,1
1372451100,1
1372451520,1
1372451640,3
1372451760,1
1372451940,2
1372452000,1
1372452240,1
1372452360,1
1372454100,1
1372455000,1
1372457160,1
1372458840,2
1372458900,2
1372459380,1
1372505460,1
1372505820,1
1372506420,1
1372507680,1
1372509660,1
1372513200,1
1372517760,1
1372519440,2
1372524420,2
1372524540,1
1372525740,1
1372525800,1
1372526160,1
1372528200,1
1372528680,3
1372528800,1
1372528920,1
1372529340,1
