datetime,arrivals
1371152340,1
1371160080,1
1371160200,1
1371163380,1
1371164220,1
1371165480,1
1371166860,1
1371169320,1
1371178320,1
1371178740,1
1371215520,1
1371216060,1
1371216960,1
1371217200,1
1371223320,1
1371224820,1
1371230100,1
1371230220,3
1371230280,4
1371230400,5
1371230520,2
1371233100,1
1371235020,1
1371236700,1
1371240180,2
1371245280,1
1371247020,1
1371248820,1
1371251040,1
1371253620,1
1371254340,1
1371258300,1
1371263100,1
1371286200,1
1371305640,1
1371309540,1
1371309600,1
1371313140,2
1371314520,1
1371320700,1
1371324420,1
1371324540,1
1371324900,1
1371328200,1
1371329100,1
1371330660,1
1371331080,1
1371332460,1
1371332520,1
1371337260,2
1371339900,2
1371341340,1
1371343380,1
1371344400,1
1371345960,3
1371346380,2
1371349200,1
1371349320,1
1371350160,2
1371350640,1
1371352920,1
1371372660,2
1371389280,1
1371390180,2
1371396300,1
1371397320,1
1371404700,1
1371406500,1
1371407640,1
1371407880,1
1371408240,2
1371409080,1
1371411780,2
1371419280,1
1371420360,1
1371422880,1
1371424140,1
1371425460,1
1371427920,1
1371427980,1
1371430920,2
1371431100,1
1371437280,1
1371437580,1
1371445320,1
1371462780,1
1371470520,1
1371491580,1
1371501060,1
1371502500,1
1371503340,1
1371504600,1
1371507360,1
1371507600,1
1371508140,1
1371508620,1
1371509160,1
1371509220,1
1371512220,1
1371512280,3
1371512400,1
1371513720,2
1371514380,1
1371514440,1
1371515460,1
1371516000,1
1371519900,1
1371520080,1
1371522480,1
1371523800,1
1371524220,1
1371528600,1
1371552300,1
1371564720,1
1371581640,1
1371586500,1
1371590040,1
1371590220,1
1371590640,1
1371591780,1
1371592260,1
1371592860,1
1371593100,1
1371593880,1
1371594300,1
1371594420,1
1371597300,1
1371598740,1
1371599700,1
1371601860,1
1371603960,2
1371614100,1
1371616260,1
1371619500,1
1371639060,1
1371640860,1
1371647400,1
1371660000,1
1371661440,1
1371663480,2
1371664140,2
1371664740,1
1371668700,1
1371672900,1
1371675840,1
1371677400,1
1371677880,2
1371678120,1
1371678480,1
1371678780,1
1371680700,1
1371681180,1
1371683580,1
1371684060,1
1371684900,1
1371685740,1
1371686760,1
1371686820,1
1371687180,2
1371688320,1
1371688800,1
1371689100,1
1371691380,1
1371693540,1
1371695940,1
1371696480,1
1371696540,1
1371699240,1
1371706440,1
1371706680,1
1371733800,1
1371736260,1
1371736980,1
1371742740,1
1371743760,1
1371744300,1
1371746340,1
1371747120,1
1371755940,2
1371757740,1
1371758940,1
1371761220,1
1371764700,1
1371766860,1
1371766980,1
1371767220,1
1371767700,1
1371768240,1
1371768660,2
1371769860,1
1371770100,1
1371771120,1
1371772260,1
1371772320,1
1371772680,1
1371772740,1
1371772980,1
1371774480,1
1371774960,1
1371775260,1
1371776160,1
1371777540,1
1371778200,1
1371780420,2
1371781320,1
1371783720,1
1371787020,1
1371787860,1
1371789540,1
1371789840,1
1371824880,1
1371838380,1
1371838500,1
1371840360,1
1371840420,2
1371841440,1
1371842700,1
1371844080,1
1371844920,1
1371845820,1
1371847140,1
1371847860,1
1371848820,1
1371849360,1
1371849900,1
1371851820,1
1371852180,1
1371853500,1
1371854460,1
1371855540,1
1371856560,1
1371857460,1
1371858000,1
1371859140,1
1371860400,1
1371860820,2
1371861000,1
1371862440,1
1371864120,1
1371864300,1
1371864360,2
1371865680,1
1371866340,1
1371866520,1
1371868260,1
1371868380,1
1371869160,1
1371870720,1
1371871260,1
1371872040,1
1371872580,1
1371873300,1
1371874140,1
1371906060,1
1371907740,1
1371910560,1
1371912780,2
1371917880,2
1371918240,1
1371919140,1
1371922440,1
1371922740,1
1371923820,1
1371924180,1
1371925800,2
1371928200,3
1371929760,1
1371934080,2
1371935340,1
1371936420,1
1371937260,1
1371939960,1
1371941820,1
1371943320,1
1371943860,1
1371948420,1
1371948720,2
1371950400,2
1371953220,1
1371953940,1
1371954960,1
1371955980,1
1371960660,1
1371961080,1
1371963600,1
1371964680,1
1371965760,1
1371967560,1
1371973440,1
1371979860,1
1371990660,1
1371995160,1
1371995940,1
1371996000,1
1372000140,1
1372002300,1
1372003380,2
1372004580,1
1372005180,1
1372005660,1
1372005780,1
1372006320,2
1372007460,1
1372007580,1
1372008060,1
1372008180,1
1372010880,1
1372011720,1
1372011960,2
1372012680,2
1372012740,1
1372013040,1
1372014480,1
1372017060,1
1372017360,1
1372017420,1
1372018620,1
1372019940,1
1372021320,1
1372023660,1
1372028340,1
1372028940,1
1372031100,1
1372031280,1
1372032960,1
1372033440,1
1372033680,1
1372035180,3
1372035300,1
1372036980,2
1372037820,1
1372042140,1
1372042920,1
1372043100,1
1372043700,1
1372045080,2
1372065300,1
1372070760,1
1372074720,1
1372076580,1
1372079040,1
1372081080,1
1372083840,1
1372084740,1
1372085220,1
1372085820,1
1372089420,1
1372091280,1
1372091580,1
1372092900,1
1372094760,1
1372096020,1
1372097940,1
1372101600,1
1372101840,1
1372101900,1
1372104120,1
1372107480,1
1372108440,1
1372109400,2
1372110120,1
1372110360,1
1372111260,1
1372112940,1
1372113180,1
1372113840,1
1372114500,1
1372114800,1
1372115400,1
1372115640,1
1372116300,1
1372116480,1
1372117680,1
1372117920,1
1372118220,1
1372119300,1
1372119600,1
1372119780,1
1372120020,1
1372120200,1
1372121340,1
1372121820,2
1372122000,1
1372122060,1
1372122180,2
1372122240,1
1372123140,1
1372123800,1
1372123860,1
1372125600,1
1372126680,1
1372128120,1
1372133640,1
1372136100,1
1372140540,1
1372157100,1
1372160400,2
1372161960,1
1372162500,1
1372170240,1
1372170720,3
1372170780,2
1372173000,1
1372174200,1
1372174500,1
1372175040,1
1372175460,1
1372177440,1
1372178400,1
1372178460,1
1372183440,1
1372184040,1
1372185000,1
1372188600,1
1372190700,1
1372193700,1
1372194360,1
1372194960,1
1372195140,2
1372195920,1
1372196040,1
1372196520,1
1372197840,1
1372198200,1
1372198980,1
1372199280,1
1372199400,1
1372200900,1
1372201200,1
1372202040,2
1372202160,1
1372202280,1
1372202460,1
1372202700,1
1372202820,1
1372203060,1
1372203360,1
1372205400,2
1372205700,1
1372208640,1
1372239060,1
1372243680,1
1372244820,1
1372250340,1
1372252080,1
1372253820,1
1372260720,1
1372260780,1
1372260840,2
1372260900,2
1372260960,4
1372261020,2
1372261140,2
1372263120,1
1372264860,1
1372265340,1
1372268520,3
1372269420,1
1372272900,1
1372273020,1
1372274880,1
1372276740,1
1372277220,1
1372278240,1
1372278840,1
1372279800,1
1372281840,1
1372282500,1
1372282920,1
1372283160,2
1372283280,1
1372283940,2
1372284000,1
1372285140,1
1372285560,2
1372285920,1
1372286400,1
1372286820,1
1372290120,1
1372290300,1
1372292700,1
1372295700,1
1372296360,2
1372299720,1
1372300320,1
1372330020,1
1372334400,1
1372342680,1
1372344840,1
1372345320,1
1372347180,1
1372350600,1
1372359600,3
1372360980,1
1372365480,1
1372365840,1
1372366140,1
1372366260,1
1372370520,2
1372370700,1
1372374060,4
1372375140,2
1372375500,1
1372375680,1
1372376640,1
1372377300,1
1372377360,1
1372378860,1
1372379160,1
1372379880,1
1372380780,1
1372381680,1
1372382400,1
1372384140,1
1372393620,1
1372416360,1
1372425960,1
1372428060,1
1372428960,1
1372430520,1
1372435800,1
1372437060,1
1372440720,1
1372441260,1
1372441920,1
1372443600,1
1372445520,1
1372445880,1
1372447980,1
1372450020,1
1372451280,1
1372451400,1
1372451520,2
1372452240,1
1372453500,1
1372453800,1
1372454580,1
1372455660,2
1372456260,1
1372456320,3
1372456560,1
1372456680,1
1372456860,1
1372457880,1
1372458000,1
1372458480,1
1372458960,2
1372459740,1
1372459800,1
1372459860,1
1372460700,1
1372462200,1
1372464060,1
1372466940,1
1372467600,1
1372469520,2
1372470300,1
1372472280,1
1372472460,1
1372473540,1
1372477080,1
1372478580,1
1372479000,2
1372483860,1
1372485540,1
1372486260,2
1372498680,1
1372512960,1
1372514100,1
1372515000,1
1372516620,1
1372517040,1
1372519140,3
1372521480,1
1372522260,1
1372522980,1
1372529040,1
1372529160,2
1372530000,1
1372534440,1
1372537500,1
1372537560,1
1372542060,1
1372543020,2
1372546080,1
1372546980,1
1372548840,1
1372551060,1
1372551960,1
1372559580,1
1372559940,1
1372567320,1
1372567680,1
1372567800,3
1372569300,1
1372570800,1
1372570860,1
1372570980,3
1372571160,1
1372571220,1
1372571340,2
1372572540,1
1372575060,1
1372585920,1
1372595700,1
1372600440,1
1372601040,1
1372602300,1
1372602420,1
1372603560,2
1372605060,1
1372605240,1
1372606800,1
1372607820,1
1372607880,1
1372608600,1
1372608660,1
1372610340,1
1372610880,1
1372612020,2
1372612500,2
1372613460,1
1372614000,1
1372614240,1
1372615860,1
1372616340,2
1372619220,1
1372620000,1
1372620600,2
1372620660,1
1372621020,1
1372631160,2
1372631460,2
1372632480,2
1372632660,1
1372633620,1
1372633740,1
1372636020,1
1372637400,1
1372637520,1
1372637580,1
1372637640,1
1372639980,1
1372640460,1
1372641420,1
1372641840,1
1372642380,1
1372642680,1
1372642920,1
1372643220,1
1372644840,1
1372647240,1
1372650300,3
1372692420,1
1372693920,1
1372698540,1
1372703160,1
1372705500,1
1372705740,1
1372708860,1
1372710060,1
1372712100,1
1372712520,1
1372712640,1
1372713240,1
1372713840,1
1372717860,8
1372720200,2
1372720440,1
1372722180,1
1372723800,2
1372729080,1
1372731000,1
1372736220,1
1372737960,1
1372741980,1
1372763340,1
1372776420,1
1372783140,1
1372785900,1
1372787160,1
1372787940,1
1372788060,1
1372789020,1
1372789260,1
1372789860,1
1372793580,1
1372794660,1
1372795920,1
1372797060,1
1372798140,1
1372798260,1
1372800120,2
1372800780,1
1372801620,1
1372801740,1
1372801980,1
1372802100,2
1372802280,1
1372802580,2
1372803060,2
1372803180,1
1372803540,1
1372804020,1
1372804260,2
1372804620,1
1372806300,2
1372808280,1
1372808700,1
1372808880,2
1372809180,1
1372810560,1
1372811100,2
1372811820,1
1372814460,1
1372815540,1
1372817400,1
1372819680,1
1372821900,1
1372825500,1
1372827600,1
1372835820,1
1372845300,1
1372846320,1
1372848240,1
1372863120,1
1372867020,1
1372867620,1
1372867860,1
1372868400,1
1372872300,1
1372873860,1
1372874460,1
1372874820,1
1372876080,1
1372876740,1
1372881600,1
1372882740,1
1372882920,2
1372883040,1
1372883520,1
1372884900,1
1372887840,1
1372888080,1
1372888500,1
1372890720,1
1372890900,1
1372891380,1
1372891620,1
1372893360,1
1372894080,1
1372896540,1
1372897200,1
1372898640,1
1372900560,1
1372900920,2
1372901520,1
1372902720,1
1372904220,1
1372904520,2
1372905120,1
1372906380,1
1372906860,1
1372913700,1
1372915260,1
1372922400,1
1372936440,1
1372936560,1
1372937100,1
1372937400,1
1372940940,3
1372941120,1
1372948260,1
1372948860,1
1372950060,1
1372951680,1
1372953180,1
1372954260,1
1372954620,1
1372954920,1
1372955100,1
1372959180,1
1372959720,3
1372959780,2
1372959840,2
1372960980,1
1372961340,1
1372962120,1
1372962540,1
1372963740,1
1372964220,2
1372964760,2
1372966920,1
1372969140,1
1372970760,3
1372973580,1
1372976940,3
1372978020,1
1372983360,1
1372984500,2
1372985040,1
1372986180,1
1372990020,1
1372992960,1
1372993200,2
1372995480,1
1372996440,2
1372997340,1
1372997700,1
1372997940,4
1372998120,7
1372998720,1
1372999140,3
1373018100,1
1373028000,1
1373029260,2
1373036220,1
1373037720,1
1373041320,1
1373043420,2
1373047020,1
1373048700,1
1373049540,1
1373049780,1
1373049900,1
1373050140,2
1373050800,1
1373052240,1
1373053320,1
1373054040,1
1373056440,3
1373056740,1
1373058360,1
1373060100,1
1373060520,1
1373061360,1
1373061840,1
1373064540,1
1373066040,1
1373067000,1
1373068740,1
1373070120,1
1373070240,1
1373071140,1
1373074620,1
1373079000,1
1373079060,1
1373080680,3
1373083860,1
1373085660,1
1373086080,1
1373093220,1
1373097480,1
1373112300,1
1373116860,1
1373118120,1
1373118540,1
1373119080,1
1373122920,1
1373125200,1
1373125860,1
1373125920,1
1373126580,2
1373127120,1
1373129940,2
1373131020,1
1373131740,1
1373133300,3
1373137440,1
1373138340,1
1373138640,1
1373138880,1
1373140740,1
1373142120,1
1373142300,1
1373143200,1
1373144340,2
1373146920,2
1373147700,1
1373148240,1
1373150280,2
1373150640,1
1373151000,1
1373152560,3
1373154060,2
1373158920,1
1373163420,2
1373167500,2
1373174880,1
1373179500,1
1373195580,1
1373204640,2
1373213520,1
1373217300,1
1373218200,1
1373218260,1
1373219820,3
1373219880,1
1373220000,2
1373220120,3
1373220180,2
1373220300,1
1373222880,2
1373223000,1
1373226120,1
1373227440,1
1373229120,2
1373232840,1
1373234040,1
1373234340,1
1373234520,1
1373234880,1
1373236680,1
1373237100,1
1373239140,1
1373239980,1
1373240880,1
1373242920,2
1373244060,2
1373245440,1
1373246520,1
1373247060,2
1373247540,1
1373248200,1
1373248320,2
1373252700,1
1373252940,1
1373260680,1
1373274300,1
1373279700,1
1373290740,5
1373296620,1
1373297520,1
1373299560,4
1373301120,3
1373301180,2
1373304420,1
1373309400,1
1373309520,2
1373309700,1
1373309820,1
1373310600,1
1373311200,1
1373313180,1
1373314320,1
1373316420,1
1373317800,1
1373318280,1
1373319120,3
1373319840,1
1373327340,12
1373330340,2
1373332320,1
1373332800,1
1373332920,1
1373333400,1
1373334120,1
1373335500,1
1373337420,1
1373338500,1
1373342220,1
1373343000,1
1373348640,1
1373366940,1
1373368860,1
1373370600,1
1373371020,2
1373383380,1
1373385420,1
1373388420,1
1373389740,1
1373391600,1
1373392740,1
1373397000,2
1373397420,2
1373398800,1
1373400180,1
1373400600,1
1373401080,1
1373401740,1
1373402460,1
1373402580,1
1373403960,1
1373404380,1
1373404920,1
1373405100,1
1373405280,2
1373405820,1
1373407320,1
1373407380,1
1373407440,1
1373408580,1
1373408820,2
1373408940,2
1373409060,2
1373409120,1
1373409660,3
1373410080,1
1373411340,1
1373413320,1
1373415360,1
1373416620,1
1373417040,1
1373421000,1
